Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
7.50635E+12	Bismuxil-P 	$78.00	$150.00	$90.00	1	3	ESPINOSA
7.50105E+12	Bolfo Super Spray 	$135.00	$200.00	$156.00	1	0	MERAGRO
12321	Bolfo Talco 100gr 	$85.00	$150.00	$98.00	0	0	HUIMANGUILLO
 23E2003	Bravecto 4.5-10 Kg 1mes	$270.00	$300.00	$0.00	2	0	DIPROFARVET
7.50634E+12	Bravo Spray Insecticida 100ml	$130.00	$189.00	$153.00	1	2	LAS POTRANCAS
7.50635E+12	Bronaverio 20 Tab	$252.00	$360.00	$290.00	2	1	ESPINOSA
 BRONAVERIO	Bronaverio Unidad Tab	$11.00	$20.00	$15.00	0	5	ESPINOSA
7.50634E+12	Broncotrim	$95.00	$150.00	$110.00	2	3	segavet
 123007-F	Bronyl 10 Ml	$55.00	$100.00	$65.00	2	1	MERAGRO
7.50634E+12	CALCIPET TABS 30 TAB	$145.00	$300.00	$210.00	1	0	dist.gomez tagle
38100138583	CANINE/EN/2.72kg	$526.64	$750.00	$620.00	1	1	CATSAVET
38100138460	CANINE/NF/2.72kg	$488.09	$700.00	$620.00	0	1	CATSAVET
 CARS	CARDO BEE 15 	$282.00	$400.00	$0.00	1	0	LAS POTRANCAS
7.50223E+12	CARPRO PETS M 	$365.00	$500.00	$0.00	0	0	SANTA MARIA
7.50302E+12	CATOVET B12	$347.00	$500.00	$420.00	1	0	- Sin Departamento -
123456	CEFA-PEEK	$129.50	$200.00	$160.00	4	1	aranda 
7.50304E+12	CEFALETAS 200 - 20 Tab	$114.00	$300.00	$220.00	29	3	SANTA MARIA
7.50304E+12	CEFALETAS 400 - 20 Tab	$143.50	$350.00	$250.00	17	3	segavet
75039929	CEFAMAX /20 TAB	$105.35	$260.00	$200.00	1	1	HUIMANGUILLO
 CHUKUS 2 	CHUKUS LOCION CHICLE 	$55.00	$100.00	$0.00	1	0	DIPROFARVET
8.5003E+11	CHURU ATUN 4PZ	$46.33	$100.00	$70.00	0	0	alimentos colibri
8.55958E+11	CHURU SALMON 4PZ	$46.33	$100.00	$70.00	4	0	alimentos colibri
7.50636E+12	CLINDAGEN (USO VETERINARIO)	"$1,389.75"	"$2,000.00"	"$1,800.00"	1	0	- Sin Departamento -
 Q-10688-012	CLORHEX-PEEK	$84.00	$120.00	$0.00	1	0	aranda 
 CUBOJ	CUBRE OBJETOS	$76.00	$100.00	$90.00	2	0	SAN LUIS
 COR-DIB	Cadena + Collar Dibujos Ch	$0.00	$65.00	$0.00	5	0	accesorios
 CAD-P1	Cadena Paseo (1.20mm) 	$0.00	$50.00	$0.00	0	0	accesorios
 CAD-P2	Cadena Paseo (4mm)	$0.00	$100.00	$0.00	0	0	accesorios
 CAD-P3	Cadena Paseo (5mm)	$0.00	$200.00	$0.00	0	0	accesorios
 CLAV40	Calmivet Comprimidos Cja C/40	$15.00	$50.00	$20.00	78	5	HUIMANGUILLO
 CAM-PEL	Cama Afelpada Rosa M	$205.00	$350.00	$0.00	0	1	accesorios
 CAMOSO	Cama De Oso	$133.00	$450.00	$0.00	1	0	accesorios
 CAMTIB	Cama De Tiburon	$296.00	$550.00	$0.00	0	0	accesorios
